key,en,de
"order.confirmed.titlePre","Order","Bestellung"
"order.confirmed.titleEm","confirmed","bestätigt"
"order.confirmed.pickupLine","Pickup on {{date}} at {{place}}.","Abholung am {{date}} bei {{place}}."
"order.confirmed.deliveryLine","Doorstep delivery on {{date}}.","Lieferung bis vor die Tür am {{date}}."
"order.confirmed.total","Total: {{amount}} — cash on delivery.","Gesamt: {{amount}} — Barzahlung bei Lieferung."
"order.confirmed.deliveringTo","Delivering to","Lieferung an"
"order.confirmed.emailNotice","A confirmation email is on its way to {{email}}. Pay in cash when you {{action}} your order. Need to change anything? Message us before Friday 6pm.","Eine Bestätigungs-E-Mail ist unterwegs an {{email}}. Zahlen Sie bar, wenn Sie Ihre Bestellung {{action}}. Möchten Sie etwas ändern? Schreiben Sie uns vor Freitag 18 Uhr."
"order.confirmed.collect","collect","abholen"
"order.confirmed.receive","receive","erhalten"
"order.confirmed.orderReference","Order reference:","Bestellreferenz:"
"order.confirmed.whatsappMessage","Message us on WhatsApp","Uns auf WhatsApp schreiben"
"order.confirmed.emailFallback","or email {{email}}","oder E-Mail an {{email}}"
"order.confirmed.viewOrders","View your orders","Ihre Bestellungen ansehen"
"order.confirmed.backHome","Back to home","Zurück zur Startseite"
"order.timeoutMessage","Your order may have gone through — we're just slow confirming it. Please don't re-submit; check your email for a confirmation, or message us on WhatsApp below.","Ihre Bestellung ist möglicherweise durchgegangen — die Bestätigung dauert nur etwas länger. Bitte senden Sie sie nicht erneut; prüfen Sie Ihre E-Mails auf eine Bestätigung oder schreiben Sie uns unten auf WhatsApp."
"order.genericSubmitError","Couldn't place your order right now. Please try again, or order via WhatsApp below.","Ihre Bestellung konnte gerade nicht aufgegeben werden. Bitte versuchen Sie es erneut, oder bestellen Sie unten über WhatsApp."
"order.postalCheckError","Couldn't check that postal code right now. Please try again.","Die Postleitzahl konnte gerade nicht geprüft werden. Bitte versuchen Sie es erneut."
"order.cartDateChanged","We saved your basket, but the Saturday you picked isn't available any more — we've moved it to the next one. Check the date before you order.","Wir haben Ihren Warenkorb gespeichert, aber der von Ihnen gewählte Samstag ist nicht mehr verfügbar — wir haben ihn auf den nächsten verschoben. Bitte prüfen Sie das Datum vor der Bestellung."
"subscribe.hero.eyebrow","Join the Circle","Werden Sie Teil davon"
"subscribe.hero.titleLine1","First bite,","Erster Bissen,"
"subscribe.hero.titleEm","first to know.","zuerst informiert."
"subscribe.hero.body","Subscribers hear about every batch first — Eid specials, seasonal menus, and quiet Sunday cookouts. No spam. Unsubscribe anytime.","Abonnenten erfahren von jeder Charge zuerst — Eid-Spezialitäten, saisonale Menüs und ruhige Sonntags-Kochtermine. Kein Spam. Jederzeit abbestellbar."
"subscribe.emailLabel","Email address","E-Mail-Adresse"
"subscribe.emailPlaceholder","your@email.com","ihre@email.de"
"subscribe.sending","Sending…","Wird gesendet…"
"subscribe.subscribe","Subscribe","Abonnieren"
"subscribe.success","You're in. Watch your inbox for the next batch.","Sie sind dabei. Behalten Sie Ihr Postfach für die nächste Charge im Blick."
"subscribe.genericError","Couldn't subscribe right now. Please try again later.","Das Abonnement konnte gerade nicht abgeschlossen werden. Bitte versuchen Sie es später erneut."
"subscribe.footnote","No spam · Unsubscribe anytime","Kein Spam · Jederzeit abbestellbar"
"privacy.hero.eyebrow","Legal","Rechtliches"
"privacy.hero.titlePre","Privacy ","Datenschutz"
"privacy.hero.titleEm","Policy","erklärung"
"privacy.hero.body","What we collect, why, and how to reach us about your data.","Was wir erheben, warum, und wie Sie uns bezüglich Ihrer Daten erreichen."
"privacy.intro","This page describes, in plain language, exactly what {{siteName}} collects today. It's a placeholder pending review by a lawyer — treat the substance as accurate, not the legal wording.","Diese Seite beschreibt in einfacher Sprache genau, was {{siteName}} derzeit erhebt. Sie ist ein Platzhalter bis zur Prüfung durch eine Anwältin oder einen Anwalt — der Inhalt ist verlässlich, der juristische Wortlaut noch nicht final."
"privacy.section1.title","Account & order information","Konto- & Bestellinformationen"
"privacy.section1.body","When you create an account to place an order, we collect your name, date of birth, address, email, and phone number. Your phone number is verified with a one-time code at signup. This information is used only to take and fulfil your order (contacting you, delivering to your address, sending an order confirmation) — never sold, and never shared beyond what's needed to run the business (e.g. our SMS and email providers, acting only on our instructions).","Wenn Sie ein Konto erstellen, um zu bestellen, erheben wir Ihren Namen, Ihr Geburtsdatum, Ihre Adresse, E-Mail-Adresse und Telefonnummer. Ihre Telefonnummer wird bei der Anmeldung mit einem Einmalcode bestätigt. Diese Informationen werden ausschließlich zur Entgegennahme und Ausführung Ihrer Bestellung verwendet (Kontaktaufnahme, Lieferung an Ihre Adresse, Versand einer Bestellbestätigung) — niemals verkauft und niemals über das für den Geschäftsbetrieb Notwendige hinaus weitergegeben (z. B. an unsere SMS- und E-Mail-Anbieter, die ausschließlich in unserem Auftrag handeln)."
"privacy.section2.title","Analytics","Analyse"
"privacy.section2.body1","We use PostHog, an analytics tool hosted in the EU (Frankfurt), to understand how people use this site and where the ordering process could be easier — for example, which step people most often stop at before finishing an order.","Wir verwenden PostHog, ein in der EU (Frankfurt) gehostetes Analysetool, um zu verstehen, wie diese Website genutzt wird und wo der Bestellvorgang einfacher gestaltet werden könnte — zum Beispiel, an welchem Schritt Menschen am häufigsten abbrechen, bevor sie eine Bestellung abschließen."
"privacy.section2.body2","We ask for your consent before any of this data is linked to you individually or stored with cookies. If you decline, we still see anonymous, aggregate usage patterns (which pages are visited, roughly where people drop off) with no cookie set and no way to identify you or link your visit to a later one. If you accept, we may also record an anonymized replay of how you interacted with the page (to see exactly where something was confusing) — sensitive fields like your phone number, date of birth, and address are never included in these recordings, even then.","Wir bitten um Ihre Einwilligung, bevor Daten Ihnen persönlich zugeordnet oder mit Cookies gespeichert werden. Lehnen Sie ab, sehen wir weiterhin nur anonyme, aggregierte Nutzungsmuster (welche Seiten besucht werden, ungefähr wo Menschen abbrechen) — ohne gesetztes Cookie und ohne Möglichkeit, Sie zu identifizieren oder Ihren Besuch mit einem späteren zu verknüpfen. Stimmen Sie zu, zeichnen wir gegebenenfalls auch eine anonymisierte Wiedergabe Ihrer Interaktion mit der Seite auf (um genau zu erkennen, wo etwas unklar war) — sensible Felder wie Telefonnummer, Geburtsdatum und Adresse sind dabei niemals enthalten."
"privacy.section2.body3","You can change your mind at any time by clearing this site's data in your browser.","Sie können Ihre Entscheidung jederzeit ändern, indem Sie die Daten dieser Website in Ihrem Browser löschen."
"privacy.section3.title","Your rights","Ihre Rechte"
"privacy.section3.bodyPre","Under GDPR, you can ask what data we hold about you, ask us to correct or delete it, or withdraw consent for analytics at any time. To do any of this, email us at","Gemäß DSGVO können Sie erfragen, welche Daten wir über Sie gespeichert haben, deren Berichtigung oder Löschung verlangen oder Ihre Einwilligung zur Analyse jederzeit widerrufen. Schreiben Sie uns dazu eine E-Mail an"
"api.error.401","Your session has expired. Please log in again.","Ihre Sitzung ist abgelaufen. Bitte melden Sie sich erneut an."
"api.error.403","You don't have access to that.","Sie haben darauf keinen Zugriff."
"api.error.404","We couldn't find that.","Das konnten wir nicht finden."
"api.error.409","That conflicts with something that already exists.","Das steht im Konflikt mit etwas bereits Vorhandenem."
"api.error.429","Too many attempts. Please wait a moment and try again.","Zu viele Versuche. Bitte warten Sie einen Moment und versuchen Sie es erneut."
"api.error.4xx","That didn't look right. Please check and try again.","Das sah nicht richtig aus. Bitte überprüfen Sie es und versuchen Sie es erneut."
"api.error.generic","Something went wrong on our end. Please try again in a moment.","Auf unserer Seite ist etwas schiefgelaufen. Bitte versuchen Sie es gleich noch einmal."
"api.error.timeout","That took too long. Please check your connection and try again.","Das hat zu lange gedauert. Bitte überprüfen Sie Ihre Verbindung und versuchen Sie es erneut."
"api.error.network","Couldn't reach the server. Please check your connection and try again.","Der Server war nicht erreichbar. Bitte überprüfen Sie Ihre Verbindung und versuchen Sie es erneut."
"spotlight.eyebrow","Taste that hits your heart","Ein Geschmack, der ins Herz trifft"
"spotlight.titleLine1","Kacchi.","Kacchi."
"spotlight.titleEm","Borhani.","Borhani."
"spotlight.titleLine2","Berlin.","Berlin."
"spotlight.body","Tender mutton. Fragrant basmati. A symphony of Bengali spices. Sealed and slow-cooked until every grain of rice carries the soul of the dish. Paired with ice-cold Borhani. Now in Berlin.","Zartes Hammelfleisch. Duftender Basmati. Eine Symphonie bengalischer Gewürze. Versiegelt und langsam gegart, bis jedes Reiskorn die Seele des Gerichts trägt. Serviert mit eiskaltem Borhani. Jetzt in Berlin."
"specs.hours.value","6+","6+"
"specs.hours.label","Hours Slow-Cooked","Stunden langsam gegart"
"specs.spices.value","45+","45+"
"specs.spices.label","Spices Blended","gemischte Gewürze"
"specs.marinade.value","24h","24h"
"specs.marinade.label","Overnight Marinade","Marinade über Nacht"
"specs.batch.value","Sat","Sa"
"specs.batch.label","One Batch a Week","Eine Charge pro Woche"
"social.eyebrow","Stay Connected","Bleiben Sie in Verbindung"
"social.titlePre","Follow our ","Folgen Sie unserer"
"social.titleEm","journey","Reise"
"social.bodyLine1","Behind every plate is a story. See the cooking, the chaos, the joy.","Hinter jedem Teller steckt eine Geschichte. Sehen Sie das Kochen, das Chaos, die Freude."
"social.bodyLine2","Follow Dhaka Kacchi and never miss a batch.","Folgen Sie Dhaka Kacchi und verpassen Sie keine Charge mehr."
"social.facebookLike","Like our page →","Unsere Seite liken →"
"social.instagramFollow","Follow us →","Folgen Sie uns →"
"common.goHome","Go home","Zur Startseite"
"common.notFoundTitle","Page not found","Seite nicht gefunden"
"common.notFoundBody","The page you're looking for doesn't exist or has been moved.","Die gesuchte Seite existiert nicht oder wurde verschoben."
"common.errorTitle","This page didn't load","Diese Seite konnte nicht geladen werden"
"common.errorBody","Something went wrong on our end. You can try refreshing or head back home.","Auf unserer Seite ist etwas schiefgelaufen. Sie können die Seite neu laden oder zur Startseite zurückkehren."
"common.tryAgain","Try again","Erneut versuchen"
